광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,광고주명,광고회사명,광고제작사,AISAC_URL,실제재생초수
한국존슨앤드존슨 멀티포컬 : 시작하세요편,2024-07-31,15.0,정밀기기및사무기기,이광학기기,안경및콘택트렌즈,한국존슨앤존슨,,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861228H01_1_24-HC-07-118,15.02
한국포도협회 우리포도 : 왔구나편,2024-07-31,15.0,식품,농산품,과실류원산,(사)한국포도협회,(주)붐커뮤니케이션,(주)붐커뮤니케이션,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861196H01_1_24-TJ-07-054,15.02
한국인삼공사 정관장 : 종합편,2024-07-31,30.0,식품,건강식품,건강식품제품종합,(주)한국인삼공사,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/862001H01_1_24-TH-08-536,15.02
한국존슨앤드존슨  아큐브 오아시스 맥스 원데이 멀티포컬 : 박세리편,2024-07-31,30.0,제약및의료,"이비인후,치과및안과용제","이비인후,치과및안과용제기타",한국존슨앤드존슨,,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861227H01_1_24-HC-07-119,30.03
"헤일리온코리아 센트룸 구미 : 건강, 이제 맛있게 챙기자편",2024-07-31,15.0,식품,건강식품,건강식품기타,헤일리온코리아주식회사,레오버넷(주),(주)휘닉스커뮤니케이션즈,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861192H01_1_24-TJ-07-069,15.02
이베스트투자증권 LS증권 : 투혼편,2024-07-31,30.0,"금융,보험및증권",주식및유가증권,주식증권,이베스트투자증권(주),주식회사 에이치에스애드,(주)에이치에스애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861521H01_1_24-TH-08-208,15.02
한국인삼공사 정관장: 종합편,2024-07-31,30.0,식품,건강식품,건강식품제품종합,한국인삼공사,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861182H01_1_24-TJ-07-045,30.03
종근당건강 프로메가 : 브랜드편,2024-07-31,15.0,식품,건강식품,건강보조식품,종근당건강(주),(주)벨커뮤니케이션즈,(주)에이치에스애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/862569H01_1_24-TH-09-028,15.02
에치와이 하루야채30 : 하루 건강편,2024-07-31,15.0,음료및기호식품,비알콜음료,기타과실음료,(주)에치와이,(주)이노션,(주)애드쿠아인터렉티브,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861197H01_1_24-TJ-07-055,15.02
LG전자 기업PR : 종합편,2024-07-31,30.0,그룹및기업광고,그룹광고,그룹PR,엘지전자(주),주식회사 에이치에스애드,(주)에이치에스애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861171H01_1_24-TJ-07-039,30.03
쿠쿠전자 : 쿠쿠 셰프스틱 프리존 인덕션,2024-07-31,15.0,가정용품,주방용품,가스렌지 및 전기렌지,쿠쿠전자(주),(주)대홍기획,대홍기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/863930H01_1_24-TH-09-971,15.02
이베스트투자증권 LS증권 : 투혼편,2024-07-31,30.0,"금융,보험및증권",주식및유가증권,주식증권,이베스트투자증권(주),주식회사 에이치에스애드,(주)에이치에스애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861521H01_1_24-TH-08-208,15.02
에치와이 하루야채 30 : 왕의 밥상편,2024-07-31,15.0,음료및기호식품,비알콜음료,기타과실음료,(주)에치와이,(주)이노션,(주)애드쿠아인터렉티브,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861195H01_1_24-TJ-07-056,15.02
캐롯손해보험 캐롯 : 할인의 신세계,2024-07-31,15.0,"금융,보험및증권",금융및보험,손해보험,캐롯손해보험주식회사,(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861181H01_1_24-TJ-07-046,15.02
한국인삼공사 정관장 : 종합편,2024-07-31,15.0,식품,건강식품,건강식품제품종합,한국인삼공사,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/862001H01_1_24-TH-08-536,15.02
삼성전자 : Galaxy Brand 15초,2024-07-31,15.0,컴퓨터및정보통신,통신기기,휴대폰,삼성전자(주),(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861174H01_1_24-TJ-07-042,15.02
경기도교육청 : 지역교육협력 플랫폼 경기공유학교 홍보,2024-07-31,15.0,관공서및단체,중앙및지방관공서,지방자치단체,경기도교육청,한국언론진흥재단,주식회사 메이크어스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861180H01_1_24-TJ-07-043,15.02
엘지전자 : LG 퓨리케어 얼음정수기,2024-07-31,30.0,가정용전기전자,주방용전기전자,주방용전기전자기타,엘지전자(주),주식회사 에이치에스애드,디렉터스컴퍼니,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861194H01_1_24-TJ-07-059,30.03
장스푸드 : 60계 크크크치킨 이벤트,2024-07-31,15.0,식품,축산품,치킨가공품,주식회사장스푸드,직거래,(주)장스푸드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/868510H01_1_25-TH-01-709,30.03
이베스트투자증권 : LS증권 CI편,2024-07-31,30.0,"금융,보험및증권",주식및유가증권,주식증권,이베스트투자증권(주),주식회사 에이치에스애드,(주)에이치에스애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861524H01_1_24-TH-08-210,15.02
이베스트투자증권  LS증권 : 투혼편,2024-07-30,15.0,"금융,보험및증권",주식및유가증권,주식증권,이베스트투자증권(주),주식회사 에이치에스애드,(주)에이치에스애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861521H01_1_24-TH-08-208,15.02
링티 : 직장인편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,주식회사링티,(주)애드쿠아인터렉티브,(주)애드쿠아인터렉티브,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861678H01_1_24-TH-08-336,15.02
한국타이어앤테크놀로지 티스테이션 : 휴일지킴 서비스편,2024-07-30,15.0,화학공업,고무및플라스틱,타이어,한국타이어앤테크놀로지(주),(주)이노션,크리에이티브멋,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861140H01_1_24-TJ-07-014,15.02
한국존슨앤드존슨 아규브 오아시스 맥스 원데이 멀티포컬 :  박세리편,2024-07-30,30.0,제약및의료,"이비인후,치과및안과용제","이비인후,치과및안과용제제품종합",한국존슨앤드존슨,,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861146H01_1_24-HC-07-111,15.02
한국존슨앤드존슨 아규브 오아시스 맥스 원데이 멀티포컬 :  박세리편,2024-07-30,15.0,제약및의료,"이비인후,치과및안과용제","이비인후,치과및안과용제제품종합",한국존슨앤드존슨,,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861146H01_1_24-HC-07-111,15.02
오비맥주 카스 : 올림픽편,2024-07-30,15.0,음료및기호식품,알콜음료,맥주,오비맥주주식회사,레오버넷(주),로켓샐러드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861295H01_1_24-TX-08-004,30.03
건강보험심사평가원 기관PR : 진료의 심사평가편,2024-07-30,30.0,관공서및단체,관공서및단체기타,관공서및단체기업PR,건강보험심사평가원,,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861128H01_1_24-HC-07-108,30.03
한국에너지공단 에너지절약캠페인 : 에너지센스 함께해요편,2024-07-30,40.0,관공서및단체,단체,공공단체,한국에너지공단,,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861160H01_1_24-HC-07-112,40.04
경북도립대학교 국립경국대학교 : 도약편,2024-07-30,15.0,교육및복지후생,교육기관,대학대학원,경북도립대학교,한국언론진흥재단,주식회사 디베이스미디어,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861165H01_1_24-TJ-07-032,15.02
건강보험심사평가원 : 합니다편,2024-07-30,15.0,관공서및단체,단체,공공단체,건강보험심사평가원,,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861129H01_1_24-HC-07-107,15.02
에쓰-오일 S-OIL : 구도일캔두잇 문답편,2024-07-30,15.0,수송기기,수송기기부품및용품,수송기기용품,에쓰-오일(S-OIL)(주),주식회사 에이치에스애드,apc,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861096H01_1_24-TH-07-995,15.02
에쓰-오일 S-OIL : 구도일캔두잇 문답편,2024-07-30,30.0,수송기기,수송기기부품및용품,수송기기용품,에쓰-오일(S-OIL)(주),주식회사 에이치에스애드,apc,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861096H01_1_24-TH-07-995,15.02
서울시의사회 서울특별시의사회 : 지켜주십시오 A편,2024-07-30,15.0,관공서및단체,단체,민간단체,서울시의사회,주식회사 와이드컴바인,(주)포스트매드맨,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861083H01_1_24-TH-07-974,15.02
넷플릭스서비시스코리아 오징어게임2 : 레이스편,2024-07-30,30.0,컴퓨터및정보통신,컴퓨터및정보통신기타,컴퓨터및정보통신기타,넷플릭스서비시스코리아유한회사,(주)제일기획,비주얼인텔리전스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861103H01_1_24-TH-07-986,30.03
미래효자장례타운 아리움 : 지켜드리겠습니다 등록증편,2024-07-30,20.0,서비스,개인서비스,경조서비스,유한회사미래효자장례타운,(주)필애드,(주)이모션,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861078H01_1_24-TH-07-976,20.02
산업단지닷컴 평택브레인시티 : 분양 문의편,2024-07-30,15.0,"건설,건재및부동산",부동산임대및매매,건물임대및매매,산업단지닷첨,,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861170H01_1_24-HC-07-114,15.02
인터브랜드 라이나 : 집중편,2024-07-30,15.0,"금융,보험및증권",금융및보험,금융및보험제품종합,인터브랜드(주),(주)나스미디어,브라보,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861155H01_1_24-TJ-07-023,15.02
아모레퍼시픽 설화수 자음생크림 : 완성하다편,2024-07-30,15.0,화장품및보건용품,여성기초화장품,여성일반기초화장품,(주)아모레퍼시픽,(주)비비디오코리아,(주)비비디오코리아,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861289H01_1_24-TH-08-034,15.02
AIA생명보험 AIA건강암보험 : 다이얼서큘레이터편,2024-07-30,60.0,"금융,보험및증권",금융및보험,생명보험,AIA생명보험,,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861130H01_1_24-HC-07-109,60.06
아카데미과학 포켓몬 LCD게임 몬스터볼 : 잡자편,2024-07-30,15.0,가정용품,완구류,일반완구,(주)아카데미과학,(주)파인애드컴,프로덕션디젤,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861106H01_1_24-TH-07-982,15.02
이베스트투자증권 LS증권 : 잘 가시게편,2024-07-30,15.0,"금융,보험및증권",주식및유가증권,주식증권,이베스트투자증권(주),주식회사 에이치에스애드,(주)에이치에스애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861168H01_1_24-TJ-07-036,15.02
넷플릭스  오징어게임2 : 레이스편,2024-07-30,15.0,컴퓨터및정보통신,컴퓨터및정보통신기타,컴퓨터및정보통신기타,넷플릭스서비시스코리아유한회사,(주)제일기획,비주얼인텔리전스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861103H01_1_24-TH-07-986,30.03
한국타이어앤테크놀로지 티스테이션 : 스마트페이편,2024-07-30,15.0,화학공업,고무및플라스틱,타이어,한국타이어앤테크놀로지(주),(주)이노션,크리에이티브멋,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861143H01_1_24-TJ-07-012,15.02
메이푸드 : 특허기술편,2024-07-30,20.0,음료및기호식품,비알콜음료,기능성건강음료,메이푸드,(주)부산프로덕션,(주)부산프로덕션,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861101H01_1_24-TH-07-988,20.02
한국타이어앤테크놀로지 티스테이션 : 픽업 앤 딜리버리편,2024-07-30,15.0,화학공업,고무및플라스틱,타이어,한국타이어앤테크놀로지(주),(주)이노션,크리에이티브멋,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861139H01_1_24-TJ-07-013,15.02
사회복지공동모금회 사랑의열매 : 폼 나는 나눔플랫폼편,2024-07-30,15.0,교육및복지후생,복지후생기관,복지후생기관제품종합,사회복지법인사회복지공동모금회,한국언론진흥재단,(주)애드리치,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861074H01_1_24-TH-07-980,15.02
링티 : 어린이집편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,주식회사링티,(주)애드쿠아인터렉티브,(주)애드쿠아인터렉티브,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861110H01_1_24-TJ-07-002,15.02
케이티 KT 로밍  : 함께 쓰는 로밍편,2024-07-30,30.0,컴퓨터및정보통신,통신망,이동통신,(주)케이티,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861102H01_1_24-TH-07-985,30.03
오비맥즈 카스 : 올림픽편,2024-07-30,30.0,음료및기호식품,알콜음료,맥주,오비맥주주식회사,레오버넷(주),로켓샐러드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861087H01_1_24-TX-07-077,30.03
한국타이어앤테크놀로지 티스테이션 : 오늘 서비스편,2024-07-30,15.0,화학공업,고무및플라스틱,타이어,한국타이어앤테크놀로지(주),(주)이노션,크리에이티브멋,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861142H01_1_24-TJ-07-011,15.02
엘지전자 PR :  공간 미래 연결하다편,2024-07-30,30.0,그룹및기업광고,그룹광고,그룹PR,엘지전자(주),주식회사 에이치에스애드,(주)에이치에스애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861445H01_1_24-TH-08-150,30.03
사회복지공동모금회 사랑의열매 : 폼나는 나눔 플랫폼편,2024-07-30,30.0,교육및복지후생,복지후생기관,복지후생기관제품종합,사회복지법인사회복지공동모금회,한국언론진흥재단,(주)애드리치,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861159H01_1_24-TJ-07-028,15.02
사회복지공동모금회 사랑의열매 : 폼나는 나눔 플랫폼편,2024-07-30,30.0,교육및복지후생,복지후생기관,복지후생기관제품종합,사회복지법인사회복지공동모금회,한국언론진흥재단,(주)애드리치,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861159H01_1_24-TJ-07-028,15.02
사회복지공동모금회 사랑의열매 : 폼나는 나눔 플랫폼편,2024-07-30,15.0,교육및복지후생,복지후생기관,복지후생기관제품종합,사회복지법인사회복지공동모금회,한국언론진흥재단,(주)애드리치,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861159H01_1_24-TJ-07-028,15.02
링티 링티 : 택배편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,주식회사링티,(주)애드쿠아인터렉티브,(주)애드쿠아인터렉티브,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861680H01_1_24-TH-08-334,15.02
링티 링티 : 풋살편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,주식회사링티,(주)애드쿠아인터렉티브,(주)애드쿠아인터렉티브,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861111H01_1_24-TJ-07-001,15.02
경기도교육청 공유학교 : 우리의 길편,2024-07-30,40.0,관공서및단체,중앙및지방관공서,중앙및지방관공서기타,경기도교육청,(주)연합뉴스티브이,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861127H01_1_24-HC-07-105,40.04
한국전력 에너지 절약 캠페인 : 지구를 살리는 에센스편,2024-07-30,40.0,관공서및단체,단체,공공단체,(주)연합뉴스티브이,(주)연합뉴스티브이,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861126H01_1_24-HC-07-106,40.04
한국타이어앤테크놀로지 티스테이션 : 무상점검 서비스편,2024-07-30,15.0,화학공업,고무및플라스틱,타이어,한국타이어앤테크놀로지(주),(주)이노션,크리에이티브멋,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861141H01_1_24-TJ-07-015,15.02
케이티 KT 로밍 : 떠나자 3GB편,2024-07-30,15.0,컴퓨터및정보통신,통신망,이동통신,(주)케이티,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861108H01_1_24-TH-07-984,15.02
링티 : 고깃집편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,주식회사링티,(주)애드쿠아인터렉티브,(주)애드쿠아인터렉티브,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861112H01_1_24-TH-07-999,15.02
링티 : 수험생편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,주식회사링티,(주)애드쿠아인터렉티브,(주)애드쿠아인터렉티브,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861679H01_1_24-TH-08-335,15.02
인터브랜드 라이나 : 스쳐가는 일상편,2024-07-30,15.0,"금융,보험및증권",금융및보험,금융및보험제품종합,인터브랜드(주),(주)나스미디어,브라보,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861154H01_1_24-TJ-07-024,15.02
한국타이어 iON : 글로리어스모멘트편,2024-07-29,15.0,화학공업,고무및플라스틱,타이어,한국타이어앤테크놀로지(주),(주)이노션,(주)크레마,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860982H01_1_24-TH-07-930,15.02
월트디즈니컴퍼니코리아 개봉안내 : 에이리언 HeartAlpha편,2024-07-29,30.0,서비스,문화및공연,영화,월트디즈니컴퍼니코리아유한책임회사,레오버넷(주),레오버넷,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860995H01_1_24-TH-07-924,30.03
넷플릭스서비시스코리아 넷플릭스 : 8월 넷플 뭐 봄편,2024-07-29,15.0,컴퓨터및정보통신,컴퓨터및정보통신기타,컴퓨터및정보통신기타,넷플릭스서비시스코리아유한회사,(주)제일기획,비주얼인텔리전스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860985H01_1_24-TH-07-917,30.03
장스푸드 크랑이치킨 : 노부부편,2024-07-29,30.0,식품,식품기타,식품기타,주식회사장스푸드,직거래,(주)에스비에스엠앤씨,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861045H01_1_24-TH-07-949,30.03
월드비전 G6K : 달려보면 알거야편,2024-07-29,15.0,관공서및단체,관공서및단체기타,관공서및단체기타,사회복지법인월드비전,주식회사 드림인사이트,(주)드림인사이트,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861055H01_1_24-TH-07-956,15.02
제주항공 PR : 가자 우리에겐 J가 있다 일본편,2024-07-29,15.0,수송기기,항공수송기기,항공기,(주)제주항공,주식회사 에이치에스애드,스튜디오 메카,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860974H01_1_24-TH-07-910,15.02
하이모 PR : 당당하게 앞을 향해편,2024-07-29,30.0,화장품및보건용품,화장도구,가발류,유한책임회사하이모(HIMOLLC),(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860979H01_1_24-TH-07-907,30.03
월드비전 G6K : 달려보면 알거야편,2024-07-29,30.0,관공서및단체,관공서및단체기타,관공서및단체기타,사회복지법인월드비전,주식회사 드림인사이트,(주)드림인사이트,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861055H01_1_24-TH-07-956,15.02
제주항공 PR : 가자 우리에겐 J가 있다 발리편,2024-07-29,15.0,수송기기,항공수송기기,항공기,(주)제주항공,주식회사 에이치에스애드,스튜디오 메카,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860977H01_1_24-TH-07-911,15.02
장스푸드 크크크치킨 : 바삭함의 끝판왕편,2024-07-29,15.0,식품,식품기타,식품기타,주식회사장스푸드,직거래,(주)에스비에스엠앤씨,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/868510H01_1_25-TH-01-709,30.03
파나소닉코리아 파나소닉 안마의자 MAN1 : 경험하지 못 한 절대 휴식편,2024-07-29,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타,파나소닉코리아주식회사,(주)덴츠엑스,타이거밤,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860972H01_1_24-TH-07-912,15.02
충청남도청 여행안내 : 충남의바다편,2024-07-29,30.0,관공서및단체,중앙및지방관공서,지방자치단체,충청남도청,(주)연합뉴스티브이,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860980H01_1_24-HC-07-090,30.03
폴스타오토모티브코리아 Polestar 4 : 별편,2024-07-29,30.0,수송기기,수입자동차,수입승용차,폴스타오토모티브코리아유한회사,(주)아이프로스펙트코리아,엘알 서울,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860994H01_1_24-TH-07-928,30.03
데일리앤코 몽제 : 허리가 편안한 매트리스편,2024-07-29,15.0,가정용품,가구류,침대,(주)데일리앤코,(주)에스비에스엠앤씨,SBS엠앤씨,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860988H01_1_24-TH-07-913,15.02
제주항공 : 띄웁니다 일본발리편,2024-07-29,30.0,수송기기,항공수송기기,항공기,(주)제주항공,주식회사 에이치에스애드,스튜디오 메카,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860976H01_1_24-TH-07-909,30.03
홈플러스 썸머 홈플런 : 24년 2차편,2024-07-29,15.0,유통,대형유통,대형유통제품종합,홈플러스(주),주식회사 에이치에스애드,(주)에이치에스애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861047H01_1_24-TH-07-954,15.02
굿네이버스인터내셔날 굿네이버스 후원 : 고려인편,2024-07-29,60.0,관공서및단체,단체,민간단체,사단법인굿네이버스인터내셔날,주식회사 케이디엠코,(주)미디어브로,NULL,NULL
하이모 : 극복 체험이벤트편,2024-07-29,15.0,화장품및보건용품,화장도구,가발류,유한책임회사하이모(HIMOLLC),(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860978H01_1_24-TH-07-906,15.02
명륜당 명륜진사갈비 : 마법편,2024-07-29,15.0,서비스,음식및숙박,대중음식점,주식회사명륜당,(주)오리콤,오리콤,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861040H01_1_24-TX-07-075,15.02
비케이알 버거킹 콰트로치즈 비프라구와퍼 : 더 맛있더라구편,2024-07-29,15.0,식품,제빵,"햄버거,피자및샌드위치",주식회사비케이알,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861041H01_1_24-TX-07-074,15.02
월트디즈니컴퍼니코리아 에이리언 로물루스 : 대개봉 HeartAlpha편,2024-07-29,15.0,서비스,문화및공연,영화,월트디즈니컴퍼니코리아유한책임회사,레오버넷(주),레오버넷,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860996H01_1_24-TH-07-923,15.02
폴스타오토모티브코리아 Polestar 4 : 아이돈노우편,2024-07-29,15.0,수송기기,수입자동차,수입승용차,폴스타오토모티브코리아유한회사,(주)아이프로스펙트코리아,엘알 서울,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860991H01_1_24-TH-07-929,15.02
장스푸드 크랑이치킨 : 잔다편,2024-07-29,30.0,식품,식품기타,식품기타,주식회사장스푸드,직거래,(주)에스비에스엠앤씨,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/862414H01_1_24-TH-08-814,30.03
미미월드 스마트 타요 빅매트 : 성공편,2024-07-29,15.0,유통,"소형,소매유통","소형,소매유통제품종합",(주)미미월드,(주)와우매니지먼트그룹,(주)재능방송,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860989H01_1_24-TH-07-914,15.02
아카데미과학 비기즈 : 왔어요편,2024-07-29,15.0,가정용품,완구류,일반완구,(주)아카데미과학,(주)파인애드컴,프로덕션디젤,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860997H01_1_24-TH-07-915,15.02
홈플러스 썸머 홈플런 : 24년편,2024-07-29,15.0,유통,대형유통,대형유통제품종합,홈플러스(주),주식회사 에이치에스애드,(주)에이치에스애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860990H01_1_24-TH-07-931,15.02
제주항공 : 띄웁니다 일본발리편,2024-07-29,30.0,수송기기,항공수송기기,항공기,(주)제주항공,주식회사 에이치에스애드,스튜디오 메카,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/860976H01_1_24-TH-07-909,30.03
한서대학교 : 아닙니다편,2024-07-29,15.0,교육및복지후생,교육기관,대학대학원,한서대학교,직거래,묘수커뮤니케이션즈,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861048H01_1_24-TH-07-953,15.02
당코리테일러 당코리 테일러 : 100년 기업편,2024-07-29,20.0,패션,정장의류,신사정장,당코리테일러,(주)부산프로덕션,(주)부산프로덕션,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861051H01_1_24-TH-07-952,20.02
